rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species
NA	69408	0.0827917915006406	950.587714671384	1	10519	1543.8057436584	50.0721862274982	30.8316025316783	6.51958872237064e-200	1021.80287501572	1045.65310777419	1069.50334053266	560.889792934794	575.939353612167	590.988914289541	0.597462060634706	0.636639081657194	0.675816102679682	7.97730011084646	8530622	5.86762985013358e-199	TRUE	briggsae
Helitron	28658	0.0203996128910625	220.072930592986	1	10519	453.818693701233	30.5913799453647	14.8348552602642	2.74155489248898e-49	356.402174404724	369.62516631819	382.848158231656	236.345073395054	247.563117870722	258.781162346391	0.23067493787415	0.269068272622715	0.30746160737128	3.03618405010726	3246780	1.23369970162004e-48	TRUE	briggsae
LTR	10501	0.0169719654072077	182.627654350455	1	10519	339.698245385931	25.1368025111488	13.5139799596734	2.85608230784911e-41	157.510288060691	169.69910663372	181.887925206748	63.0807871437921	70.4153992395437	77.7500113352954	0.228382502658077	0.266772912400585	0.305163322143093	1.18123885170602	1263172	8.56824692354733e-41	TRUE	briggsae
TIR	83429	0.0163203140655378	175.538222578379	1	10519	785.953647408256	59.3213581366545	13.2490838392086	9.50192119227294e-40	1295.14079024514	1320.57384527656	1346.00690030799	1078.10129191708	1100.05095057034	1122.00060922361	0.212541336917768	0.250912214294283	0.289283091670798	11.9078538461319	12733807	2.13793226826141e-39	TRUE	briggsae
SINE	1053	0.00654183484444426	70.2732769001688	1	10519	27.1993875211396	3.24462135244533	8.38291577556211	5.8224402760305e-17	11.06213069507	12.7466261167078	14.4311215383457	3.89614916932018	4.62680608365019	5.3574629979802	0.130740949796819	0.169029920249547	0.207318890702274	0.0854687147351077	91397	1.04803924968549e-16	TRUE	briggsae
LINE	7337	0.000574196288826601	7.04401540967428	1	10519	54.0127545715602	20.3510198337336	2.65405640664893	0.00796501615744594	94.8256145791906	102.991446493062	111.157278406934	76.0100610924789	84.1334600760456	92.2568590596123	0.0243530373243489	0.0625831729163844	0.10081330850842	0.920530142246959	984380	0.0119475242361689	TRUE	briggsae
DIRS	188	6.12254135919921e-05	1.64413078816266	1	10519	12.3327576490388	9.61816041774479	1.28223663501035	0.199787905528842	7.39218365922205	11.6806690743205	15.9691544894189	2.68262063886062	6.03574144486692	9.38886225087322	0.00141230018979047	0.0396368336358942	0.0778613670819978	0.0871547667134812	93200	0.256870164251368	FALSE	briggsae
PLE	5	-5.26751463041375e-05	0.44588664888323	1	10519	0.492730078357323	0.737898861061689	0.667747443936128	0.504309469098014	-0.129475313869791	0.288158144839384	0.705791603548559	0	0	0	-0.011850394090646	0.0263720478865078	0.0645944898636616	0.00141766766456693	1516	0.567348152735266	FALSE	briggsae
Maverick	454	-9.43402530182436e-05	0.00763415829248526	1	10519	-1.88484813166375	21.5722668097941	-0.0873736704762063	0.930376160370195	16.6504201251637	25.9501995818285	35.2499790384934	14.4441795735259	22.3576045627376	30.2710295519494	-0.0269750218628573	0.0112460608963756	0.0494671436556085	0.237641685526431	254125	0.930376160370195	FALSE	briggsae
NA	77204	0.142873070014836	1672.71741903336	1	10028	2483.29286870573	60.7178872850491	40.8988681876815	0	1255.52432107881	1284.24501594896	1312.96571081912	544.790545128624	563.61507778221	582.439610435795	0.780739399029956	0.82150242821848	0.862265457407004	9.09102573269252	9267739	0	TRUE	elegans
TIR	30398	0.0749142196468707	813.156801882383	1	10028	1293.92958077492	45.3757160954994	28.5159043672538	4.81591733881474e-172	697.620313137408	718.859250398724	740.09818766004	318.381218011821	332.697447147986	347.01367628415	0.550215080754396	0.590203582046265	0.630192083338133	5.17338171972188	5273943	2.16716280246663e-171	TRUE	elegans
Helitron	7202	0.06251261770519	669.743979711716	1	10028	946.942555430604	36.5905742124089	25.8794122752375	5.24691067860507e-143	308.545674926601	327.780502392344	347.015329858088	41.2120099990243	48.8125249301955	56.4130398613666	0.488174168662535	0.52799572359646	0.567817278530385	1.85287639944357	1888893	1.57407320358152e-142	TRUE	elegans
LINE	6687	0.0182969978261096	187.920678445221	1	10028	461.748573247888	33.6835825470393	13.7084163361499	2.17707693704429e-42	190.478494319355	207.322368421053	224.166242522751	59.3839961966893	68.2826086956522	77.181221194615	0.246367351395464	0.285711900565565	0.325056449735666	1.35594093535105	1382298	4.89842310834965e-42	TRUE	elegans
SINE	1099	0.00510598913548366	52.470774253901	1	10028	25.6152690304549	3.53622740234877	7.24367132425963	4.68825570315789e-13	15.1005002590443	16.758971291866	18.4174423246877	7.58581138156765	8.70482648583965	9.82384159011165	0.118388719020377	0.157594773849415	0.196800828678454	0.125273899631445	127709	8.4388602656842e-13	TRUE	elegans
LTR	1851	0.00212999845776896	22.4073521600516	1	10028	172.820730700001	36.5090529288594	4.73364047642526	2.23547051229539e-06	78.2236785912155	94.76495215311	111.306225715005	31.8320277084407	44.219385719984	56.6067437315274	0.0565839425259219	0.0957517056243398	0.134919468722758	0.683765816468661	697057	3.35320576844308e-06	TRUE	elegans
Maverick	66	0.000365621627004931	4.66816045602784	1	10028	21.7484774578716	10.0659778655931	2.16059261685951	0.0307504293579223	1.8363524610436	6.63696172248804	11.4375709839325	-0.50111470966892	2.56920622257678	5.63952715482249	-0.0112030513613013	0.0279441973673235	0.0670914460959484	0.0452925930645664	46173	0.0395362663173287	TRUE	elegans
PLE	2	2.17095668375578e-06	1.02177257184883	1	10028	0.0904308769208368	0.0894622099258565	1.01082766674088	0.312123307559058	-0.0141473342621378	0.0364832535885167	0.0871138414391713	0	0	0	-0.0109422626188305	0.0282050219384804	0.0673523064957913	0.000179510634587652	183	0.35113872100394	FALSE	elegans
DIRS	10	-8.96369110274797e-05	0.10111199284994	1	10028	0.0718867954139758	0.226072527049105	0.317981120272793	0.750505879269382	-0.0044658765337106	0.0919059011164274	0.188277678766565	-0.00402421778877032	0.0801755085759872	0.164375234940745	-0.0355568553260124	0.00358851447126777	0.0427338842685479	0.000846544686607342	863	0.750505879269382	FALSE	elegans
NA	62122	0.0542004205863686	705.926697098203	1	12300	1165.24795158291	43.8569620338044	26.5692810798147	2.732026876397e-151	692.028901915654	713.320760851894	734.612619788134	352.01539762269	364.675499918712	377.335602214735	0.461630425041469	0.497518468365784	0.533406511690098	5.39110597743298	6630755	2.4588241887573e-150	TRUE	inopinata
LTR	13901	0.0126755151329712	158.923270455181	1	12300	-884.837909057891	70.1891485225033	-12.6064773214082	3.25631280994544e-36	300.492079648805	323.176231507072	345.860383365339	491.541978889072	524.276540399935	557.011101910798	-0.213908273587183	-0.178492557782695	-0.143076841978206	4.23814800707571	5212682	1.46534076447545e-35	TRUE	inopinata
Helitron	4713	0.00316284967792613	40.0296588320349	1	12300	103.205554513329	16.3121845884507	6.32689962240866	2.58814169993924e-10	81.9637195931443	89.5311331490815	97.0985467050186	50.0688355751437	55.3505121118517	60.6321886485597	0.0955449168927943	0.130928170320272	0.16631142374775	0.724559381336064	891167	7.76442509981772e-10	TRUE	inopinata
