rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species
Gypsy	9879	0.0213474364058095	230.473706342059	1	10519	338.556015409843	22.3007691321232	15.181360490485	1.64861990488342e-51	142.299717536757	153.38851929291	164.477321049064	51.9423999463324	57.9878326996198	64.0332654529071	0.250306909209824	0.288726310916107	0.327145712622391	1.03986577791871	1111993	3.46210180025518e-50	TRUE	briggsae
Helitron	28658	0.0203996128910625	220.072930592986	1	10519	453.818693701233	30.5913799453647	14.8348552602642	2.74155489248898e-49	356.402174404724	369.62516631819	382.848158231656	236.345073395054	247.563117870722	258.781162346391	0.23067493787415	0.269068272622715	0.30746160737128	3.03618405010726	3246780	2.87863263711343e-48	TRUE	briggsae
hAT	7279	0.0175665853998868	189.104838109594	1	10519	238.631939792061	17.3531072731268	13.7515394814397	1.16501511230749e-42	135.013485438003	143.485268960274	151.957052482545	60.7811671848156	65.7041825095057	70.6271978341958	0.264984806226337	0.303424886455981	0.341864966685625	1.02909954584605	1100480	8.15510578615243e-42	TRUE	briggsae
PiggyBac	8007	0.0107067875376676	114.854419981228	1	10519	172.439047297657	16.0902117042772	10.7170154418676	1.16243205664639e-26	116.336356873096	123.6329595134	130.929562153705	72.0425499770023	77.5053231939164	82.9680964108304	0.155129295938607	0.193439358248089	0.231749420557572	0.989478727059746	1058111	6.10276829739355e-26	TRUE	briggsae
Mutator	9609	0.010106324839578	108.403996995062	1	10519	200.635170559527	19.2701199380832	10.4117240164663	2.90773529916837e-25	147.366566181196	156.800988405246	166.235410629296	87.3950236168449	92.8448669201521	98.2947102234593	0.186031317963816	0.224372168989702	0.262713020015589	1.22810978751303	1313294	1.22124882565072e-24	TRUE	briggsae
ERV	256	0.00589537356601688	63.3871253239936	1	10519	-5.74293440741727	0.721328892155287	-7.96160318805161	1.87327379074376e-15	0.239603173751268	0.382246721155674	0.52489026856008	1.71937405265582	2.10190114068441	2.484428228713	-0.199305623033732	-0.161022954787792	-0.122740286541851	0.0122194349425435	13067	6.55645826760316e-15	TRUE	briggsae
tRNA	179	0.00278994084464113	30.4322920393372	1	10519	10.4734204468262	1.8985463613591	5.51654711203823	3.53908097998729e-08	2.2429094942204	3.29424063866185	4.3455717831033	0.152110232252605	0.375095057034221	0.598079881815836	0.0655715411004759	0.103818060000038	0.1420645788996	0.0180518842986807	19304	1.06172429399619e-07	TRUE	briggsae
Copia	54	0.00168333961054534	18.7385927787975	1	10519	2.57822120256704	0.595595885537912	4.32880962607477	1.51304380935132e-05	0.475240917022559	0.750047519482988	1.02485412194342	-0.0395961120257558	0.155893536121673	0.351383184269102	0.029110724093334	0.067342336377441	0.105573948661548	0.00445686285575592	4766	3.97173999954721e-05	TRUE	briggsae
Sola	22	0.00150815075457511	16.8897100162814	1	10519	0.85038064944786	0.206919906085141	4.10970923743778	3.99163383441103e-05	0.136018467787529	0.252233415700437	0.368448363613345	-0.00712094901248362	0.00741444866920152	0.0219498463508867	0.041659409230807	0.079895435202832	0.118131461174857	0.00127739711728128	1366	9.3138122802924e-05	TRUE	briggsae
Tc1-Mariner	56651	0.000797329944460468	9.39460428509332	1	10519	156.242052896224	50.9751709335542	3.0650618729633	0.00218176338353402	836.327953282152	858.018057403535	879.708161524919	810.888721691159	829.930988593156	848.973255495153	-0.0010268871272489	0.0371971985870362	0.0754212843013213	8.30352077670982	8879470	0.00458170310542144	TRUE	briggsae
