rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species	label
Helitron	28658	0.024233100224998	262.263437431377	1	10519	545.656461991867	33.6938337130274	16.1945496211342	2.78514932913616E-58	419.337699738614	434.081923588671	448.826147438728	275.170264360644	287.31825095057	299.466237540497	0.25522659465754	0.293652814011436	0.332079033365332	3.54884391118985	3794999	5.84881359118594E-57	TRUE	briggsae	
Gypsy	9879	0.023514925500293	254.334149925252	1	10519	368.489979503487	23.1059241632765	15.9478572204936	1.35475504986089E-56	160.878000660147	172.38756890325	183.897137146354	62.4705711588245	68.6990494296578	74.9275277004911	0.264408567126338	0.302847816365387	0.341287065604436	1.18602301250545	1268288	1.42249280235393E-55	TRUE	briggsae	
hAT	7279	0.019354021644062	208.622640778966	1	10519	272.102214731809	18.8387185329804	14.4437751567575	7.691429662939E-47	147.884009538299	157.221250712792	166.558491887286	62.875589917045	67.9617870722433	73.0479842274416	0.282411686923268	0.320877637824834	0.3593435887264	1.10778197150348	1184620	5.3840007640573E-46	TRUE	briggsae	
PiggyBac	8007	0.012338436974639	132.421897776	1	10519	197.934750848561	17.2005425129518	11.5074713893192	1.84030045725165E-30	126.052339522089	134.034784261547	142.017229001005	74.1131312574938	79.6980988593156	85.2830664611374	0.174862155598641	0.213191354693282	0.251520553787923	1.05143903320676	1124369	9.66157740057116E-30	TRUE	briggsae	
Mutator	9609	0.011565707401175	124.0949217074	1	10519	226.473850670572	20.3301723145418	11.1397900207949	1.16147074731266E-28	158.489745255678	168.548564911614	178.60738456755	90.6055749716958	96.1638783269962	101.722181682297	0.202390085532795	0.240749071351879	0.279108057170964	1.30223061497273	1392556	4.87817713871317E-28	TRUE	briggsae	
ERV	256	0.007955741655164	85.3655930754148	1	10519	-7.80249208904761	0.844484934157414	-9.23935025179881	2.95806231132706E-20	0.323423082778275	0.490781220300323	0.658139357822371	2.3524759902615	2.80019011406844	3.24790423787538	-0.223007593447631	-0.184705403044718	-0.146403212641806	0.016188156293745	17311	1.03532180896447E-19	TRUE	briggsae	
tRNA	179	0.00320237007029	34.7971641664361	1	10519	11.8326087221677	2.00589676317918	5.89891211719891	3.7718010788739E-09	2.57511174235065	3.6880821136666	4.80105248498256	0.160872972759038	0.385931558935361	0.610990145111685	0.072902975617614	0.11115325859187	0.149403541566127	0.020042790933155	21433	1.13154032366217E-08	TRUE	briggsae	
Copia	54	0.001970240918563	21.7678521353512	1	10519	3.04760257572582	0.653206567511641	4.66560308377719	3.11509695586625E-06	0.536633749407565	0.850598745485649	1.16456374156373	-0.039474457204468	0.156083650190114	0.351641757584696	0.03353692439658	0.071770007601134	0.110003090805688	0.004952485456165	5296	8.17712950914891E-06	TRUE	briggsae	
Sola	22	0.001563087267925	17.4694212011581	1	10519	0.986935527721331	0.236129107130185	4.17964366916106	2.94328565068178E-05	0.154534077537192	0.287397833111576	0.420261588685959	-0.007120949012484	0.007414448669202	0.021949846350887	0.041830520120115	0.080066611475392	0.118302702830669	0.001450397458934	1551	6.86766651825749E-05	TRUE	briggsae	
Tc1-Mariner	56651	0.001193036270013	13.5657329356867	1	10519	192.856387237471	52.3615381124406	3.6831688714593	0.000231507022951	880.452505788796	902.815814483938	925.179123179081	846.460267997404	865.929087452471	885.397906907539	0.009327248661906	0.047553430779396	0.085779612896886	8.70098298326558	9304501	0.000486164748197	TRUE	briggsae	
Jockey	7073	0.001137267328094	12.97767410898	1	10519	74.2153660787163	20.6013367881505	3.6024539010208	0.000316681187441	107.280914898932	115.610150161566	123.939385424201	82.0804446647166	90.2384030418251	98.3963614189336	0.044947472967824	0.083184779823697	0.12142208667957	1.01264019982755	1082879	0.000604573176023	TRUE	briggsae	
Kolobok	14	0.000630105325965	7.63288744685558	1	10519	5.99339184980627	2.16934309465634	2.76276807692133	0.005741304340321	0.27400783529772	1.5019958182855	2.72998380127327	0	0	0	0.008524131497748	0.04675013267962	0.084976133861493	0.007389452431008	7902	0.010047282595562	TRUE	briggsae	
