	species	unique_protein_coding_genes_hit_transposons	total_protein_coding_genes	non_transposon_protein_coding_genes	fraction_protein_coding_genes_transposon	percent_prot_genes_transposon	rep_mode
afra	afra	162	19834	19672	0.008167792679238	0.816779267923767	male-female
angaria	angaria	158	27970	27812	0.005648909545942	0.564890954594208	male-female
brenneri	brenneri	416	30660	30244	0.013568166992825	1.35681669928245	male-female
briggsae	briggsae	290	22405	22115	0.012943539388529	1.29435393885293	hermaphroditic
castelli	castelli	164	19694	19530	0.008327409363258	0.832740936325784	male-female
D_coronatus	D_coronatus	445	34421	33976	0.012928154324395	1.2928154324395	parthenogenetic
doughertyi	doughertyi	396	30860	30464	0.012832145171743	1.28321451717434	male-female
elegans	elegans	100	20236	20136	0.004941688080648	0.494168808064835	hermaphroditic
japonica	japonica	3619	29931	26312	0.120911429621463	12.0911429621463	male-female
kamaaina	kamaaina	197	19448	19251	0.010129576306047	1.01295763060469	male-female
latens	latens	269	24855	24586	0.010822772078053	1.08227720780527	male-female
monodelphis	monodelphis	167	20262	20095	0.008242029414668	0.824202941466785	male-female
nigoni	nigoni	776	29167	28391	0.026605410223883	2.66054102238832	male-female
plicata	plicata	117	14843	14726	0.007882503537021	0.788250353702082	male-female
remanei	remanei	315	24867	24552	0.012667390517553	1.26673905175534	male-female
sinica	sinica	653	34696	34043	0.018820613327185	1.88206133271847	male-female
sp21	sp21	165	16412	16247	0.010053619302949	1.00536193029491	male-female
sp26	sp26	254	22198	21944	0.011442472294801	1.14424722948013	male-female
sp28	sp28	134	17300	17166	0.007745664739884	0.774566473988439	male-female
sp29	sp29	187	21924	21737	0.008529465426017	0.852946542601715	male-female
sp31	sp31	206	27614	27408	0.007459984066053	0.745998406605345	male-female
sp32	sp32	176	18192	18016	0.009674582233949	0.967458223394899	male-female
inopinata	inopinata	3349	21609	18260	0.154981720579388	15.4981720579388	male-female
sp38	sp38	261	22278	22017	0.011715593859413	1.17155938594129	male-female
sp39	sp39	161	30124	29963	0.005344575753552	0.534457575355199	male-female
sp40	sp40	312	24787	24475	0.012587243313027	1.2587243313027	male-female
tropicalis	tropicalis	211	22326	22115	0.009450864462958	0.945086446295799	hermaphroditic
virilis	virilis	217	19447	19230	0.01115853344989	1.11585334498894	male-female
wallacei	wallacei	368	20628	20260	0.017839829358154	1.7839829358154	male-female
