POS	VALUE	DOM	SCENARIO	SIM
0	15691.5	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15691.5	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11487	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11487	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15691.5	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15691.5	NO_DOMAINS	SEL_CENTER_WEAK	1570842892177_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	16828	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	16828	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	12188	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	12188	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	16828	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	16828	NO_DOMAINS	SEL_CENTER_WEAK	1574732952051_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	84359.5	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0.9	84359.5	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.1	86061	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.9	86061	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
2.1	84359.5	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
3	84359.5	NO_DOMAINS	NEUTRAL	1575800471661_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0	8159.5	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	8159.5	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4328	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4328	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	8159.5	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	8159.5	NO_DOMAINS	SEL_CENTER	1578500612181_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	15257.5	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15257.5	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	10924	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	10924	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15257.5	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15257.5	NO_DOMAINS	SEL_CENTER_WEAK	1579703103103_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	15584.5	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15584.5	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11419	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11419	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15584.5	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15584.5	NO_DOMAINS	SEL_CENTER_WEAK	1582993163105_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	8349	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	8349	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4674	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4674	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	8349	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	8349	NO_DOMAINS	SEL_CENTER	1583680792430_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	7985	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	7985	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4384	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4384	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	7985	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	7985	NO_DOMAINS	SEL_CENTER	1587760911594_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	15696.5	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15696.5	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11753	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11753	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15696.5	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15696.5	NO_DOMAINS	SEL_CENTER_WEAK	1591391554596_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	7514.5	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	7514.5	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4157	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4157	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	7514.5	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	7514.5	NO_DOMAINS	SEL_CENTER	1596291183534_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	16181.5	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	16181.5	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11989	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11989	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	16181.5	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	16181.5	NO_DOMAINS	SEL_CENTER_WEAK	1602333823135_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	8088.5	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	8088.5	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4251	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4251	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	8088.5	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	8088.5	NO_DOMAINS	SEL_CENTER	1603031392006_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	22729	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT	1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt
0.9	22729	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT	1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt
1.1	22371	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT	1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt
1.9	22371	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT	1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt
2.1	22729	HIGH_LOW_HIGH	SEL_ALL_WEAK_POS_MUT	1606647754979_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK_POS_MUT.txt
