cluster_id	rm_classification	repeat_class	repeat_subclass	repeat_order	repeat_superfamily	repeat_family	average	median	minimum	maximum	standard_deviation	iqr	num_alignments	species	mean_insertion_length	insertion_count	total_genome_bp_cluster	total_genome_percent_cluster
Cluster0	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	16.7749578742709	16.63	0.23	35.45	5.884611764937	8.02	1543	briggsae	56.7165	1291	61375	0.0583506
Cluster1006	Unknown	NA	NA	NA	NA	NA	17.635	14.285	11.35	29.98	7.2624975043025	7.765	6	briggsae	63.3333	6	380	0.000361275
Cluster1008	RC-Helitron	II	2	Helitron	Helitron	NA	22.4349002849003	23.09	2.69	42.97	7.31577055242596	10.19	351	briggsae	146.223	265	28247	0.0268551
Cluster1009	Unknown	NA	NA	NA	NA	NA	15.8983760683761	15.77	0	27.25	4.5794035927936	5.4375	234	briggsae	89.7815	151	10252	0.00974681
Cluster1010	Unknown	NA	NA	NA	NA	NA	16.2451162790698	16.02	2.55	33.56	5.40869253806161	7.18	989	briggsae	107.192	634	57977	0.05512
Cluster1011	Satellite	Satellite	NA	NA	NA	NA	25.8710526315789	25.55	16.46	38.69	5.44243853231725	6.365	95	briggsae	75.2568	74	3484	0.00331232
Cluster1012	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	20.6027407407407	24.61	5.62	41.58	8.8022177861418	15.845	135	briggsae	224.7	100	21954	0.0208722
Cluster1013	Satellite	Satellite	NA	NA	NA	NA	28.515671641791	28.83	11.8	53.4	7.25092178082496	8.37	201	briggsae	82.2258	155	9407	0.00894345
Cluster1014	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	20.6433333333333	20.84	11.88	31.97	4.9514751218554	5.3325	18	briggsae	67	15	867	0.000824277
Cluster1015	DNA-hAT-Ac	II	1	TIR	hAT	Ac	8.62016949152542	9.12	1.47	22.42	5.83829169969926	7.93	59	briggsae	222.95	40	8506	0.00808685
Cluster1016	DNA	II	NA	NA	NA	NA	24.7832513661202	26.055	0	45.98	9.85791825962025	12.2725	366	briggsae	145.025	282	25621	0.0243585
Cluster1017	DNA	II	NA	NA	NA	NA	12.8106060606061	14.23	0	21.91	5.99768337537187	10.75	33	briggsae	279.793	29	8063	0.00766568
Cluster1018	Unknown	NA	NA	NA	NA	NA	15.2059507042254	14.775	3.42	26.25	4.56512824713125	6.9225	284	briggsae	106.132	234	23450	0.0222944
Cluster1019	DNA-TcMar	II	1	TIR	Tc1-Mariner	NA	12.605	12.605	10.18	15.03	3.42946788875476	2.425	2	briggsae	161.5	2	323	0.000307083
Cluster101	RC-Helitron	II	2	Helitron	Helitron	NA	18.0394594594595	15.95	1.03	40.24	11.1460124820769	17.08	111	briggsae	295.461	76	21068	0.0200298
Cluster1020	Unknown	NA	NA	NA	NA	NA	18.210396039604	18.03	2.98	32.2	6.77174525817268	9.03	101	briggsae	105.3	80	7686	0.00730725
Cluster1023	DNA-Maverick	II	2	Maverick	Maverick	NA	12.5779220779221	11.78	2.38	30.69	7.17338581469586	14.19	77	briggsae	210.389	72	15132	0.0143863
Cluster1024	DNA-TcMar-Tc2	II	1	TIR	Tc1-Mariner	Tc2	13.9691666666667	10.67	5.09	26.14	7.86541041908215	15.45	12	briggsae	155.917	12	1774	0.00168658
Cluster1028	DNA-hAT	II	1	TIR	hAT	NA	4.2875	2.95	1.13	18.19	4.6548628043448	1.675	12	briggsae	136.3	10	1231	0.00117034
Cluster1029	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	29.23	29.23	29.23	29.23	NA	0	1	briggsae	138	1	138	0.0001312
Cluster102	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	8.66607843137255	6.66	0	27.23	5.61546082826027	5.935	51	briggsae	719.65	40	28709	0.0272943
Cluster1030	DNA-Merlin	II	1	TIR	Merlin	NA	21.4245454545455	22.37	9.45	32.26	7.04263070682591	7.685	11	briggsae	129	10	1284	0.00122073
Cluster1031	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	19.7762711864407	21.67	9.09	31.39	6.07993276343979	7.095	59	briggsae	79.95	40	2603	0.00247473
Cluster1032	Satellite	Satellite	NA	NA	NA	NA	22.167	22.465	16.17	30.38	4.01265788889775	4.445	10	briggsae	101.556	9	914	0.00086896
Cluster1034	Unknown	NA	NA	NA	NA	NA	16.097380952381	14.82	5.09	32.22	7.09361996393936	9.1475	42	briggsae	90.2143	28	2488	0.0023654
Cluster1035	Unknown	NA	NA	NA	NA	NA	9.96490566037736	8.26	0	28.96	6.0097758894096	9.01	53	briggsae	86.549	51	4411	0.00419364
Cluster1036	Unknown	NA	NA	NA	NA	NA	12.3884931506849	11.42	3.23	23.88	4.55384290439065	5.47	73	briggsae	157.694	49	6262	0.00595343
Cluster1038	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	8.94645161290323	6.18	0.79	26.08	7.36073209601106	11.86	31	briggsae	354.893	28	9928	0.00943877
Cluster1039	Unknown	NA	NA	NA	NA	NA	12.2207317073171	11.88	5.75	23.87	3.26634079269815	4.12	82	briggsae	61.3235	34	1710	0.00162574
Cluster103	Simple_repeat	Simple_repeat	NA	NA	NA	NA	23.6312941176471	22.49	5.8	42.2	6.1641735220615	6.41	85	briggsae	180.088	34	5362	0.00509777
Cluster1040	Unknown	NA	NA	NA	NA	NA	17.2907988980716	17.72	0	40.79	6.45408206694411	9.045	363	briggsae	105.021	187	15543	0.0147771
Cluster1041	Unknown	NA	NA	NA	NA	NA	12.8179487179487	12.22	0.29	32.98	5.01735974178399	6	234	briggsae	106.582	208	21811	0.0207362
Cluster1042	Unknown	NA	NA	NA	NA	NA	14.3642105263158	14.89	2.09	33.16	7.34534423664999	9.95	57	briggsae	225.021	47	10496	0.00997878
Cluster1043	RC-Helitron	II	2	Helitron	Helitron	NA	11.2193548387097	10.97	0	21.89	5.88129177164556	6.75	31	briggsae	59.6154	26	1538	0.00146221
Cluster1044	Unknown	NA	NA	NA	NA	NA	17.9998717948718	18.405	4.09	29.84	6.02557977888117	8.1925	78	briggsae	116.483	60	6201	0.00589543
Cluster1045	Unknown	NA	NA	NA	NA	NA	21.5928051391863	21.46	7.17	35.44	5.50369482316952	7.615	467	briggsae	144.831	344	47437	0.0450994
Cluster1046	Unknown	NA	NA	NA	NA	NA	23.4193918918919	23.665	10.34	35.26	5.16148850364574	6.81	148	briggsae	269.009	117	31381	0.0298346
Cluster1047	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	9.03432432432432	7.73	4.7	18.58	4.06217480102889	5.04	37	briggsae	402.621	29	11603	0.0110312
Cluster1048	Unknown	NA	NA	NA	NA	NA	18.8007441860465	18.86	2.63	36.44	5.65940614802226	6.505	215	briggsae	147.205	161	21608	0.0205432
