Chr	BP	element_count	species
I	1	8	briggsae
I	10001	19	briggsae
I	20001	19	briggsae
I	30001	33	briggsae
I	40001	32	briggsae
I	50001	20	briggsae
I	60001	20	briggsae
I	70001	24	briggsae
I	80001	11	briggsae
I	90001	29	briggsae
I	100001	30	briggsae
I	110001	22	briggsae
I	120001	41	briggsae
I	130001	39	briggsae
I	140001	19	briggsae
I	150001	53	briggsae
I	160001	36	briggsae
I	170001	16	briggsae
I	180001	13	briggsae
I	190001	24	briggsae
I	200001	14	briggsae
I	210001	15	briggsae
I	220001	27	briggsae
I	230001	43	briggsae
I	240001	48	briggsae
I	250001	29	briggsae
I	260001	40	briggsae
I	270001	26	briggsae
I	280001	42	briggsae
I	290001	38	briggsae
I	300001	15	briggsae
I	310001	22	briggsae
I	320001	22	briggsae
I	330001	19	briggsae
I	340001	35	briggsae
I	350001	18	briggsae
I	360001	24	briggsae
I	370001	8	briggsae
I	380001	8	briggsae
I	390001	5	briggsae
I	400001	20	briggsae
I	410001	9	briggsae
I	420001	12	briggsae
I	430001	20	briggsae
I	440001	25	briggsae
I	450001	27	briggsae
I	460001	20	briggsae
I	470001	31	briggsae
I	480001	40	briggsae
I	490001	15	briggsae
I	500001	28	briggsae
I	510001	36	briggsae
I	520001	40	briggsae
I	530001	38	briggsae
I	540001	32	briggsae
I	550001	19	briggsae
I	560001	32	briggsae
I	570001	17	briggsae
I	580001	26	briggsae
I	590001	43	briggsae
I	600001	45	briggsae
I	610001	32	briggsae
I	620001	33	briggsae
I	630001	28	briggsae
I	640001	26	briggsae
I	650001	19	briggsae
I	660001	28	briggsae
I	670001	19	briggsae
I	680001	20	briggsae
I	690001	26	briggsae
I	700001	32	briggsae
I	710001	36	briggsae
I	720001	42	briggsae
I	730001	36	briggsae
I	740001	29	briggsae
I	750001	31	briggsae
I	760001	31	briggsae
I	770001	41	briggsae
I	780001	25	briggsae
I	790001	27	briggsae
I	800001	25	briggsae
I	810001	16	briggsae
I	820001	25	briggsae
I	830001	29	briggsae
I	840001	13	briggsae
I	850001	19	briggsae
I	860001	33	briggsae
I	870001	24	briggsae
I	880001	27	briggsae
I	890001	34	briggsae
I	900001	13	briggsae
I	910001	21	briggsae
I	920001	29	briggsae
I	930001	42	briggsae
I	940001	34	briggsae
I	950001	29	briggsae
I	960001	30	briggsae
I	970001	38	briggsae
I	980001	20	briggsae
I	990001	12	briggsae
I	1000001	11	briggsae
I	1010001	22	briggsae
I	1020001	22	briggsae
I	1030001	28	briggsae
I	1040001	20	briggsae
I	1050001	43	briggsae
I	1060001	46	briggsae
I	1070001	41	briggsae
I	1080001	43	briggsae
I	1090001	36	briggsae
I	1100001	28	briggsae
I	1110001	30	briggsae
I	1120001	40	briggsae
I	1130001	43	briggsae
I	1140001	34	briggsae
I	1150001	41	briggsae
I	1160001	12	briggsae
I	1170001	43	briggsae
I	1180001	45	briggsae
I	1190001	30	briggsae
I	1200001	25	briggsae
I	1210001	25	briggsae
I	1220001	42	briggsae
I	1230001	27	briggsae
I	1240001	25	briggsae
I	1250001	52	briggsae
I	1260001	45	briggsae
I	1270001	32	briggsae
I	1280001	20	briggsae
I	1290001	34	briggsae
I	1300001	30	briggsae
I	1310001	37	briggsae
I	1320001	18	briggsae
I	1330001	31	briggsae
I	1340001	31	briggsae
I	1350001	24	briggsae
I	1360001	28	briggsae
I	1370001	31	briggsae
I	1380001	30	briggsae
I	1390001	26	briggsae
I	1400001	42	briggsae
I	1410001	39	briggsae
I	1420001	36	briggsae
I	1430001	41	briggsae
I	1440001	35	briggsae
I	1450001	43	briggsae
I	1460001	15	briggsae
I	1470001	26	briggsae
I	1480001	26	briggsae
I	1490001	22	briggsae
I	1500001	25	briggsae
I	1510001	17	briggsae
I	1520001	40	briggsae
I	1530001	12	briggsae
I	1540001	25	briggsae
I	1550001	41	briggsae
I	1560001	26	briggsae
I	1570001	17	briggsae
I	1580001	24	briggsae
I	1590001	36	briggsae
I	1600001	25	briggsae
I	1610001	32	briggsae
I	1620001	21	briggsae
I	1630001	40	briggsae
I	1640001	20	briggsae
I	1650001	27	briggsae
I	1660001	18	briggsae
I	1670001	29	briggsae
I	1680001	27	briggsae
I	1690001	18	briggsae
I	1700001	22	briggsae
I	1710001	47	briggsae
I	1720001	34	briggsae
I	1730001	13	briggsae
I	1740001	36	briggsae
I	1750001	34	briggsae
I	1760001	38	briggsae
I	1770001	33	briggsae
I	1780001	27	briggsae
I	1790001	5	briggsae
I	1800001	43	briggsae
I	1810001	34	briggsae
I	1820001	19	briggsae
I	1830001	25	briggsae
I	1840001	37	briggsae
I	1850001	21	briggsae
I	1860001	20	briggsae
I	1870001	37	briggsae
I	1880001	22	briggsae
I	1890001	10	briggsae
I	1900001	32	briggsae
I	1910001	13	briggsae
I	1920001	10	briggsae
I	1930001	16	briggsae
I	1940001	18	briggsae
I	1950001	17	briggsae
I	1960001	26	briggsae
I	1970001	36	briggsae
I	1980001	34	briggsae
I	1990001	37	briggsae
I	2000001	38	briggsae
I	2010001	53	briggsae
I	2020001	28	briggsae
I	2030001	14	briggsae
I	2040001	12	briggsae
I	2050001	25	briggsae
I	2060001	41	briggsae
I	2070001	19	briggsae
I	2080001	11	briggsae
I	2090001	28	briggsae
I	2100001	31	briggsae
I	2110001	24	briggsae
I	2120001	30	briggsae
I	2130001	26	briggsae
I	2140001	34	briggsae
I	2150001	24	briggsae
I	2160001	42	briggsae
I	2170001	29	briggsae
I	2180001	31	briggsae
I	2190001	53	briggsae
I	2200001	16	briggsae
I	2210001	31	briggsae
I	2220001	28	briggsae
I	2230001	35	briggsae
