Chr	BP	num_rep	species	norm_dist_center
III	1	1633	briggsae	0.5
III	10001	566	briggsae	0.499314
III	20001	384	briggsae	0.498628
III	30001	24	briggsae	0.497942
III	40001	213	briggsae	0.497256
III	50001	1751	briggsae	0.49657
III	60001	1106	briggsae	0.495884
III	70001	4277	briggsae	0.495198
III	80001	5735	briggsae	0.494513
III	90001	4733	briggsae	0.493827
III	100001	3975	briggsae	0.493141
III	110001	4459	briggsae	0.492455
III	120001	1643	briggsae	0.491769
III	130001	798	briggsae	0.491083
III	140001	383	briggsae	0.490397
III	150001	2216	briggsae	0.489711
III	160001	339	briggsae	0.489025
III	170001	1403	briggsae	0.488339
III	180001	281	briggsae	0.487653
III	190001	674	briggsae	0.486967
III	200001	225	briggsae	0.486281
III	210001	1849	briggsae	0.485596
III	220001	1924	briggsae	0.48491
III	230001	1996	briggsae	0.484224
III	240001	1262	briggsae	0.483538
III	250001	2891	briggsae	0.482852
III	260001	3555	briggsae	0.482166
III	270001	4550	briggsae	0.48148
III	280001	2678	briggsae	0.480794
III	290001	1160	briggsae	0.480108
III	300001	1582	briggsae	0.479422
III	310001	2259	briggsae	0.478736
III	320001	1756	briggsae	0.47805
III	330001	4459	briggsae	0.477364
III	340001	1448	briggsae	0.476678
III	350001	1965	briggsae	0.475993
III	360001	1610	briggsae	0.475307
III	370001	1776	briggsae	0.474621
III	380001	1189	briggsae	0.473935
III	390001	1630	briggsae	0.473249
III	400001	3726	briggsae	0.472563
III	410001	2749	briggsae	0.471877
III	420001	5174	briggsae	0.471191
III	430001	4426	briggsae	0.470505
III	440001	5019	briggsae	0.469819
III	450001	2189	briggsae	0.469133
III	460001	2360	briggsae	0.468447
III	470001	3337	briggsae	0.467761
III	480001	2979	briggsae	0.467076
III	490001	408	briggsae	0.46639
III	500001	983	briggsae	0.465704
III	510001	1960	briggsae	0.465018
III	520001	1736	briggsae	0.464332
III	530001	5538	briggsae	0.463646
III	540001	4119	briggsae	0.46296
III	550001	5186	briggsae	0.462274
III	560001	2700	briggsae	0.461588
III	570001	4328	briggsae	0.460902
III	580001	2418	briggsae	0.460216
III	590001	4294	briggsae	0.45953
III	600001	945	briggsae	0.458844
III	610001	3875	briggsae	0.458159
III	620001	4497	briggsae	0.457473
III	630001	1526	briggsae	0.456787
III	640001	4326	briggsae	0.456101
III	650001	4492	briggsae	0.455415
III	660001	4668	briggsae	0.454729
III	670001	3886	briggsae	0.454043
III	680001	2871	briggsae	0.453357
III	690001	2768	briggsae	0.452671
III	700001	4510	briggsae	0.451985
III	710001	3528	briggsae	0.451299
III	720001	3367	briggsae	0.450613
III	730001	3995	briggsae	0.449927
III	740001	3649	briggsae	0.449241
III	750001	2565	briggsae	0.448556
III	760001	2945	briggsae	0.44787
III	770001	3554	briggsae	0.447184
III	780001	2254	briggsae	0.446498
III	790001	2876	briggsae	0.445812
III	800001	5338	briggsae	0.445126
III	810001	4235	briggsae	0.44444
III	820001	4106	briggsae	0.443754
III	830001	3885	briggsae	0.443068
III	840001	2295	briggsae	0.442382
III	850001	4426	briggsae	0.441696
III	860001	3465	briggsae	0.44101
III	870001	1778	briggsae	0.440324
III	880001	3694	briggsae	0.439639
III	890001	3769	briggsae	0.438953
III	900001	3149	briggsae	0.438267
III	910001	2600	briggsae	0.437581
III	920001	4061	briggsae	0.436895
III	930001	4237	briggsae	0.436209
III	940001	3075	briggsae	0.435523
III	950001	2535	briggsae	0.434837
III	960001	2598	briggsae	0.434151
III	970001	2674	briggsae	0.433465
III	980001	2161	briggsae	0.432779
III	990001	3720	briggsae	0.432093
III	1000001	3107	briggsae	0.431407
III	1010001	4582	briggsae	0.430721
III	1020001	3474	briggsae	0.430036
III	1030001	1751	briggsae	0.42935
III	1040001	995	briggsae	0.428664
III	1050001	1247	briggsae	0.427978
III	1060001	4081	briggsae	0.427292
III	1070001	5137	briggsae	0.426606
III	1080001	2609	briggsae	0.42592
III	1090001	3821	briggsae	0.425234
III	1100001	3768	briggsae	0.424548
III	1110001	3487	briggsae	0.423862
III	1120001	2000	briggsae	0.423176
III	1130001	532	briggsae	0.42249
III	1140001	1997	briggsae	0.421804
III	1150001	1315	briggsae	0.421119
III	1160001	1212	briggsae	0.420433
III	1170001	1498	briggsae	0.419747
III	1180001	821	briggsae	0.419061
III	1190001	1328	briggsae	0.418375
III	1200001	1971	briggsae	0.417689
III	1210001	3348	briggsae	0.417003
III	1220001	5076	briggsae	0.416317
III	1230001	3851	briggsae	0.415631
III	1240001	3273	briggsae	0.414945
III	1250001	3476	briggsae	0.414259
III	1260001	4015	briggsae	0.413573
III	1270001	3972	briggsae	0.412887
III	1280001	2329	briggsae	0.412202
III	1290001	4064	briggsae	0.411516
III	1300001	4202	briggsae	0.41083
III	1310001	2744	briggsae	0.410144
III	1320001	3703	briggsae	0.409458
III	1330001	3812	briggsae	0.408772
III	1340001	2539	briggsae	0.408086
III	1350001	1386	briggsae	0.4074
III	1360001	4494	briggsae	0.406714
III	1370001	3779	briggsae	0.406028
III	1380001	4190	briggsae	0.405342
III	1390001	5394	briggsae	0.404656
III	1400001	4591	briggsae	0.40397
III	1410001	4449	briggsae	0.403284
III	1420001	3633	briggsae	0.402599
III	1430001	4534	briggsae	0.401913
III	1440001	4070	briggsae	0.401227
III	1450001	3733	briggsae	0.400541
III	1460001	4201	briggsae	0.399855
III	1470001	3396	briggsae	0.399169
III	1480001	3503	briggsae	0.398483
III	1490001	3737	briggsae	0.397797
III	1500001	2706	briggsae	0.397111
III	1510001	1083	briggsae	0.396425
III	1520001	2996	briggsae	0.395739
III	1530001	3477	briggsae	0.395053
III	1540001	2521	briggsae	0.394367
III	1550001	2788	briggsae	0.393682
III	1560001	3334	briggsae	0.392996
III	1570001	2807	briggsae	0.39231
III	1580001	2069	briggsae	0.391624
III	1590001	4399	briggsae	0.390938
III	1600001	1711	briggsae	0.390252
III	1610001	5272	briggsae	0.389566
III	1620001	3418	briggsae	0.38888
III	1630001	2268	briggsae	0.388194
III	1640001	2129	briggsae	0.387508
III	1650001	3332	briggsae	0.386822
III	1660001	3952	briggsae	0.386136
III	1670001	415	briggsae	0.38545
III	1680001	3522	briggsae	0.384765
III	1690001	3655	briggsae	0.384079
III	1700001	3474	briggsae	0.383393
III	1710001	3119	briggsae	0.382707
III	1720001	3574	briggsae	0.382021
III	1730001	3570	briggsae	0.381335
III	1740001	3150	briggsae	0.380649
III	1750001	1473	briggsae	0.379963
III	1760001	3249	briggsae	0.379277
III	1770001	3912	briggsae	0.378591
III	1780001	439	briggsae	0.377905
III	1790001	1942	briggsae	0.377219
III	1800001	3916	briggsae	0.376533
III	1810001	5219	briggsae	0.375847
III	1820001	2393	briggsae	0.375162
III	1830001	728	briggsae	0.374476
III	1840001	2286	briggsae	0.37379
III	1850001	2808	briggsae	0.373104
III	1860001	4801	briggsae	0.372418
III	1870001	5471	briggsae	0.371732
III	1880001	6546	briggsae	0.371046
III	1890001	3498	briggsae	0.37036
III	1900001	2732	briggsae	0.369674
III	1910001	3760	briggsae	0.368988
III	1920001	1930	briggsae	0.368302
III	1930001	3100	briggsae	0.367616
III	1940001	4271	briggsae	0.36693
III	1950001	4348	briggsae	0.366245
III	1960001	3691	briggsae	0.365559
III	1970001	5818	briggsae	0.364873
III	1980001	3483	briggsae	0.364187
III	1990001	2873	briggsae	0.363501
III	2000001	4956	briggsae	0.362815
III	2010001	4696	briggsae	0.362129
III	2020001	4137	briggsae	0.361443
III	2030001	4866	briggsae	0.360757
III	2040001	4696	briggsae	0.360071
III	2050001	2847	briggsae	0.359385
III	2060001	4206	briggsae	0.358699
III	2070001	2638	briggsae	0.358013
III	2080001	1278	briggsae	0.357328
III	2090001	2173	briggsae	0.356642
III	2100001	1526	briggsae	0.355956
III	2110001	2048	briggsae	0.35527
III	2120001	2222	briggsae	0.354584
III	2130001	3002	briggsae	0.353898
III	2140001	3601	briggsae	0.353212
III	2150001	4530	briggsae	0.352526
III	2160001	3207	briggsae	0.35184
III	2170001	3798	briggsae	0.351154
III	2180001	3141	briggsae	0.350468
III	2190001	3765	briggsae	0.349782
III	2200001	3858	briggsae	0.349096
III	2210001	4178	briggsae	0.34841
III	2220001	3253	briggsae	0.347725
III	2230001	2925	briggsae	0.347039
III	2240001	3200	briggsae	0.346353
III	2250001	2928	briggsae	0.345667
III	2260001	4018	briggsae	0.344981
III	2270001	2684	briggsae	0.344295
III	2280001	2051	briggsae	0.343609
III	2290001	5037	briggsae	0.342923
III	2300001	3880	briggsae	0.342237
III	2310001	3838	briggsae	0.341551
III	2320001	4783	briggsae	0.340865
III	2330001	1976	briggsae	0.340179
III	2340001	2659	briggsae	0.339493
III	2350001	3130	briggsae	0.338808
III	2360001	3185	briggsae	0.338122
III	2370001	1801	briggsae	0.337436
III	2380001	6097	briggsae	0.33675
III	2390001	4026	briggsae	0.336064
III	2400001	2695	briggsae	0.335378
III	2410001	3071	briggsae	0.334692
III	2420001	2764	briggsae	0.334006
III	2430001	2893	briggsae	0.33332
III	2440001	3786	briggsae	0.332634
III	2450001	3325	briggsae	0.331948
III	2460001	1953	briggsae	0.331262
III	2470001	4772	briggsae	0.330576
III	2480001	4027	briggsae	0.329891
III	2490001	3154	briggsae	0.329205
III	2500001	3500	briggsae	0.328519
III	2510001	2154	briggsae	0.327833
III	2520001	1806	briggsae	0.327147
III	2530001	3202	briggsae	0.326461
III	2540001	3951	briggsae	0.325775
III	2550001	4518	briggsae	0.325089
III	2560001	4544	briggsae	0.324403
III	2570001	6505	briggsae	0.323717
III	2580001	2373	briggsae	0.323031
III	2590001	3152	briggsae	0.322345
III	2600001	903	briggsae	0.321659
III	2610001	2356	briggsae	0.320973
III	2620001	2772	briggsae	0.320288
III	2630001	4458	briggsae	0.319602
III	2640001	4384	briggsae	0.318916
III	2650001	2879	briggsae	0.31823
III	2660001	3247	briggsae	0.317544
III	2670001	4968	briggsae	0.316858
III	2680001	3766	briggsae	0.316172
III	2690001	4481	briggsae	0.315486
III	2700001	3958	briggsae	0.3148
III	2710001	6081	briggsae	0.314114
III	2720001	3998	briggsae	0.313428
III	2730001	2164	briggsae	0.312742
III	2740001	4526	briggsae	0.312056
III	2750001	2146	briggsae	0.311371
III	2760001	5752	briggsae	0.310685
III	2770001	4917	briggsae	0.309999
III	2780001	3404	briggsae	0.309313
III	2790001	2951	briggsae	0.308627
III	2800001	4686	briggsae	0.307941
III	2810001	4782	briggsae	0.307255
III	2820001	5448	briggsae	0.306569
III	2830001	5390	briggsae	0.305883
III	2840001	3844	briggsae	0.305197
III	2850001	3684	briggsae	0.304511
III	2860001	4603	briggsae	0.303825
III	2870001	4540	briggsae	0.303139
III	2880001	3363	briggsae	0.302454
III	2890001	4056	briggsae	0.301768
III	2900001	2537	briggsae	0.301082
III	2910001	5835	briggsae	0.300396
III	2920001	3854	briggsae	0.29971
III	2930001	4058	briggsae	0.299024
III	2940001	5458	briggsae	0.298338
III	2950001	2158	briggsae	0.297652
III	2960001	2936	briggsae	0.296966
III	2970001	3818	briggsae	0.29628
III	2980001	4121	briggsae	0.295594
III	2990001	3992	briggsae	0.294908
III	3000001	5867	briggsae	0.294222
III	3010001	4038	briggsae	0.293536
III	3020001	3265	briggsae	0.292851
III	3030001	3632	briggsae	0.292165
III	3040001	5649	briggsae	0.291479
III	3050001	2389	briggsae	0.290793
III	3060001	3940	briggsae	0.290107
III	3070001	3683	briggsae	0.289421
III	3080001	4342	briggsae	0.288735
III	3090001	2833	briggsae	0.288049
III	3100001	4404	briggsae	0.287363
III	3110001	4996	briggsae	0.286677
III	3120001	4036	briggsae	0.285991
III	3130001	4043	briggsae	0.285305
III	3140001	4607	briggsae	0.284619
III	3150001	6090	briggsae	0.283934
III	3160001	2450	briggsae	0.283248
III	3170001	4332	briggsae	0.282562
III	3180001	3414	briggsae	0.281876
III	3190001	3825	briggsae	0.28119
III	3200001	4002	briggsae	0.280504
III	3210001	3685	briggsae	0.279818
III	3220001	4076	briggsae	0.279132
III	3230001	6402	briggsae	0.278446
III	3240001	186	briggsae	0.27776
III	3250001	5347	briggsae	0.277074
III	3260001	3402	briggsae	0.276388
III	3270001	6190	briggsae	0.275702
III	3280001	4272	briggsae	0.275017
III	3290001	5704	briggsae	0.274331
III	3300001	3570	briggsae	0.273645
III	3310001	4409	briggsae	0.272959
III	3320001	3952	briggsae	0.272273
III	3330001	4372	briggsae	0.271587
III	3340001	3817	briggsae	0.270901
III	3350001	4692	briggsae	0.270215
III	3360001	3015	briggsae	0.269529
III	3370001	3262	briggsae	0.268843
III	3380001	2790	briggsae	0.268157
III	3390001	6084	briggsae	0.267471
III	3400001	4901	briggsae	0.266785
III	3410001	5311	briggsae	0.266099
III	3420001	3228	briggsae	0.265414
III	3430001	5564	briggsae	0.264728
III	3440001	6276	briggsae	0.264042
III	3450001	5184	briggsae	0.263356
