Chr	BP	kimura_distance	species	norm_dist_center
III	1	4.765	briggsae	0.5
III	10001	9.313333333	briggsae	0.499314
III	20001	14.71	briggsae	0.498628
III	40001	2.52	briggsae	0.497256
III	50001	12.49916667	briggsae	0.49657
III	60001	20.37333333	briggsae	0.495884
III	70001	13.30576923	briggsae	0.495198
III	80001	21.17311828	briggsae	0.494513
III	90001	19.915625	briggsae	0.493827
III	100001	20.85071429	briggsae	0.493141
III	110001	22.0834375	briggsae	0.492455
III	120001	6.19	briggsae	0.491769
III	130001	15.59857143	briggsae	0.491083
III	140001	10.916	briggsae	0.490397
III	150001	17.05785714	briggsae	0.489711
III	160001	5.48	briggsae	0.489025
III	170001	12.92	briggsae	0.488339
III	180001	17.94666667	briggsae	0.487653
III	190001	13.86142857	briggsae	0.486967
III	200001	21.345	briggsae	0.486281
III	210001	19.48736842	briggsae	0.485596
III	220001	24.46846154	briggsae	0.48491
III	230001	21.0215	briggsae	0.484224
III	240001	22.20555556	briggsae	0.483538
III	250001	21.379	briggsae	0.482852
III	260001	22.57512821	briggsae	0.482166
III	270001	27.1509434	briggsae	0.48148
III	280001	18.00833333	briggsae	0.480794
III	290001	22.478	briggsae	0.480108
III	300001	11.93	briggsae	0.479422
III	310001	10.36818182	briggsae	0.478736
III	320001	15.03529412	briggsae	0.47805
III	330001	18.2128	briggsae	0.477364
III	340001	18.65529412	briggsae	0.476678
III	350001	9.59375	briggsae	0.475993
III	360001	11.692	briggsae	0.475307
III	370001	20.52588235	briggsae	0.474621
III	380001	21.32545455	briggsae	0.473935
III	390001	20.13466667	briggsae	0.473249
III	400001	20.46774194	briggsae	0.472563
III	410001	22.10595238	briggsae	0.471877
III	420001	26.58811321	briggsae	0.471191
III	430001	22.08818182	briggsae	0.470505
III	440001	22.73714286	briggsae	0.469819
III	450001	17.2452	briggsae	0.469133
III	460001	15.564	briggsae	0.468447
III	470001	19.471875	briggsae	0.467761
III	480001	21.54631579	briggsae	0.467076
III	490001	30.78	briggsae	0.46639
III	500001	22.88666667	briggsae	0.465704
III	510001	23.489	briggsae	0.465018
III	520001	24.05333333	briggsae	0.464332
III	530001	24.89	briggsae	0.463646
III	540001	24.31571429	briggsae	0.46296
III	550001	21.9428169	briggsae	0.462274
III	560001	24.56151515	briggsae	0.461588
III	570001	23.96881356	briggsae	0.460902
III	580001	19.3735	briggsae	0.460216
III	590001	24.53173913	briggsae	0.45953
III	600001	21.476	briggsae	0.458844
III	610001	22.71136364	briggsae	0.458159
III	620001	22.18847458	briggsae	0.457473
III	630001	19.8225	briggsae	0.456787
III	640001	17.18	briggsae	0.456101
III	650001	23.19111111	briggsae	0.455415
III	660001	20.02967742	briggsae	0.454729
III	670001	20.5818	briggsae	0.454043
III	680001	17.21354839	briggsae	0.453357
III	690001	23.61	briggsae	0.452671
III	700001	19.4722807	briggsae	0.451985
III	710001	24.13285714	briggsae	0.451299
III	720001	22.13666667	briggsae	0.450613
III	730001	29.01613636	briggsae	0.449927
III	740001	19.95297297	briggsae	0.449241
III	750001	21.76230769	briggsae	0.448556
III	760001	21.1937037	briggsae	0.44787
III	770001	21.9337931	briggsae	0.447184
III	780001	19.9752381	briggsae	0.446498
III	790001	26.04230769	briggsae	0.445812
III	800001	25.77333333	briggsae	0.445126
III	810001	18.09266667	briggsae	0.44444
III	820001	23.105	briggsae	0.443754
III	830001	24.55026316	briggsae	0.443068
III	840001	20.61628571	briggsae	0.442382
III	850001	25.56340909	briggsae	0.441696
III	860001	23.64730769	briggsae	0.44101
III	870001	16.18666667	briggsae	0.440324
III	880001	24.54387097	briggsae	0.439639
III	890001	25.33704545	briggsae	0.438953
III	900001	20.736	briggsae	0.438267
III	910001	20.8452	briggsae	0.437581
III	920001	20.36243902	briggsae	0.436895
III	930001	21.6769697	briggsae	0.436209
III	940001	22.61148936	briggsae	0.435523
III	950001	20.0575	briggsae	0.434837
III	960001	21.67131579	briggsae	0.434151
III	970001	18.70857143	briggsae	0.433465
III	980001	17.18529412	briggsae	0.432779
III	990001	18.51941176	briggsae	0.432093
III	1000001	21.73326531	briggsae	0.431407
III	1010001	18.27076923	briggsae	0.430721
III	1020001	25.2428125	briggsae	0.430036
III	1030001	19.18	briggsae	0.42935
III	1040001	14.4775	briggsae	0.428664
III	1050001	20.41105263	briggsae	0.427978
III	1060001	20.86791667	briggsae	0.427292
III	1070001	19.3386	briggsae	0.426606
III	1080001	21.03769231	briggsae	0.42592
III	1090001	25.013	briggsae	0.425234
III	1100001	22.2255814	briggsae	0.424548
III	1110001	24.46891892	briggsae	0.423862
III	1120001	23.94354839	briggsae	0.423176
III	1130001	33.97	briggsae	0.42249
III	1140001	13.08315789	briggsae	0.421804
III	1150001	17.138125	briggsae	0.421119
III	1160001	18.73363636	briggsae	0.420433
III	1170001	21.60142857	briggsae	0.419747
III	1180001	4.916666667	briggsae	0.419061
III	1190001	21.42529412	briggsae	0.418375
III	1200001	21.91875	briggsae	0.417689
III	1210001	19.63148148	briggsae	0.417003
III	1220001	23.79704545	briggsae	0.416317
III	1230001	20.8947619	briggsae	0.415631
III	1240001	22.48372549	briggsae	0.414945
III	1250001	18.2375	briggsae	0.414259
III	1260001	24.125	briggsae	0.413573
III	1270001	25.81171429	briggsae	0.412887
III	1280001	17.9474359	briggsae	0.412202
III	1290001	20.75197183	briggsae	0.411516
III	1300001	20.65166667	briggsae	0.41083
III	1310001	20.47787879	briggsae	0.410144
III	1320001	24.2124	briggsae	0.409458
III	1330001	23.0806	briggsae	0.408772
III	1340001	24.828	briggsae	0.408086
III	1350001	16.5425	briggsae	0.4074
III	1360001	22.45934783	briggsae	0.406714
III	1370001	25.03882353	briggsae	0.406028
III	1380001	23.53027027	briggsae	0.405342
III	1390001	25.2465	briggsae	0.404656
III	1400001	21.19617021	briggsae	0.40397
III	1410001	24.082	briggsae	0.403284
III	1420001	25.70233333	briggsae	0.402599
III	1430001	24.54038462	briggsae	0.401913
III	1440001	23.69973684	briggsae	0.401227
III	1450001	18.48033898	briggsae	0.400541
III	1460001	20.80015385	briggsae	0.399855
III	1470001	23.68947368	briggsae	0.399169
III	1480001	21.02980769	briggsae	0.398483
III	1490001	20.66923077	briggsae	0.397797
III	1500001	22.86588235	briggsae	0.397111
III	1510001	10.8625	briggsae	0.396425
III	1520001	17.59380952	briggsae	0.395739
III	1530001	20.82387097	briggsae	0.395053
III	1540001	23.78388889	briggsae	0.394367
III	1550001	23.1775	briggsae	0.393682
III	1560001	22.44586207	briggsae	0.392996
III	1570001	22.18	briggsae	0.39231
III	1580001	19.4896	briggsae	0.391624
III	1590001	21.13409091	briggsae	0.390938
III	1600001	15.71392857	briggsae	0.390252
III	1610001	20.62176471	briggsae	0.389566
III	1620001	21.41721311	briggsae	0.38888
III	1630001	24.4165	briggsae	0.388194
III	1640001	16.49666667	briggsae	0.387508
III	1650001	16.50971429	briggsae	0.386822
III	1660001	21.2264	briggsae	0.386136
III	1670001	36.51428571	briggsae	0.38545
III	1680001	22.00619048	briggsae	0.384765
III	1690001	21.6790625	briggsae	0.384079
III	1700001	19.61051948	briggsae	0.383393
III	1710001	19.56933333	briggsae	0.382707
III	1720001	19.76428571	briggsae	0.382021
III	1730001	22.149625	briggsae	0.381335
III	1740001	26.50982143	briggsae	0.380649
III	1750001	20.95535714	briggsae	0.379963
III	1760001	22.57594595	briggsae	0.379277
III	1770001	21.36671875	briggsae	0.378591
III	1780001	19.51333333	briggsae	0.377905
III	1790001	13.37947368	briggsae	0.377219
III	1800001	19.02	briggsae	0.376533
III	1810001	24.20328947	briggsae	0.375847
III	1820001	21.24645161	briggsae	0.375162
III	1830001	26.7325	briggsae	0.374476
III	1840001	26.76045455	briggsae	0.37379
III	1850001	23.37541667	briggsae	0.373104
III	1860001	25.0162069	briggsae	0.372418
III	1870001	19.08436893	briggsae	0.371732
III	1880001	21.70708333	briggsae	0.371046
III	1890001	19.34578947	briggsae	0.37036
III	1900001	14.41592593	briggsae	0.369674
III	1910001	19.25842105	briggsae	0.368988
III	1920001	21.15363636	briggsae	0.368302
III	1930001	18.76565217	briggsae	0.367616
III	1940001	22.72886792	briggsae	0.36693
III	1950001	19.47758621	briggsae	0.366245
III	1960001	20.98785714	briggsae	0.365559
III	1970001	24.7897561	briggsae	0.364873
III	1980001	25.4595	briggsae	0.364187
III	1990001	21.38730159	briggsae	0.363501
III	2000001	24.50371795	briggsae	0.362815
III	2010001	21.95426966	briggsae	0.362129
III	2020001	21.51	briggsae	0.361443
III	2030001	15.099	briggsae	0.360757
III	2040001	18.44790123	briggsae	0.360071
III	2050001	23.94533333	briggsae	0.359385
III	2060001	22.17216216	briggsae	0.358699
III	2070001	21.74302326	briggsae	0.358013
III	2080001	14.84	briggsae	0.357328
III	2090001	22.73947368	briggsae	0.356642
III	2100001	19.96615385	briggsae	0.355956
III	2110001	18.195	briggsae	0.35527
III	2120001	22.59222222	briggsae	0.354584
III	2130001	19.7108	briggsae	0.353898
III	2140001	22.97844444	briggsae	0.353212
III	2150001	23.30779661	briggsae	0.352526
III	2160001	26.621	briggsae	0.35184
III	2170001	15.17545455	briggsae	0.351154
III	2180001	20.42235294	briggsae	0.350468
III	2190001	20.54958904	briggsae	0.349782
III	2200001	21.59442623	briggsae	0.349096
III	2210001	23.51709091	briggsae	0.34841
III	2220001	22.94622222	briggsae	0.347725
III	2230001	15.55317073	briggsae	0.347039
III	2240001	22.74591549	briggsae	0.346353
III	2250001	21.9678125	briggsae	0.345667
III	2260001	24.17575	briggsae	0.344981
III	2270001	18.74	briggsae	0.344295
III	2280001	22.17756757	briggsae	0.343609
III	2290001	20.01658537	briggsae	0.342923
III	2300001	21.1440625	briggsae	0.342237
III	2310001	22.33971429	briggsae	0.341551
III	2320001	23.837875	briggsae	0.340865
III	2330001	22.30064516	briggsae	0.340179
III	2340001	21.83413793	briggsae	0.339493
III	2350001	29.2975	briggsae	0.338808
III	2360001	23.18513514	briggsae	0.338122
III	2370001	23.07833333	briggsae	0.337436
III	2380001	20.84977528	briggsae	0.33675
III	2390001	21.20083333	briggsae	0.336064
III	2400001	22.98173913	briggsae	0.335378
III	2410001	18.16442308	briggsae	0.334692
III	2420001	19.785	briggsae	0.334006
III	2430001	19.22263158	briggsae	0.33332
III	2440001	20.04122449	briggsae	0.332634
III	2450001	19.095	briggsae	0.331948
III	2460001	19.75473684	briggsae	0.331262
III	2470001	20.35176471	briggsae	0.330576
III	2480001	22.21208955	briggsae	0.329891
III	2490001	20.47830508	briggsae	0.329205
III	2500001	18.48781513	briggsae	0.328519
III	2510001	19.41583333	briggsae	0.327833
III	2520001	24.279375	briggsae	0.327147
III	2530001	22.53142857	briggsae	0.326461
III	2540001	21.34783133	briggsae	0.325775
III	2550001	17.49744681	briggsae	0.325089
III	2560001	19.08285714	briggsae	0.324403
III	2570001	15.83444444	briggsae	0.323717
III	2580001	17.97166667	briggsae	0.323031
III	2590001	19.68323529	briggsae	0.322345
III	2600001	20.19666667	briggsae	0.321659
III	2610001	32.76294118	briggsae	0.320973
III	2620001	22.33375	briggsae	0.320288
III	2630001	20.00393939	briggsae	0.319602
III	2640001	21.34358333	briggsae	0.318916
III	2650001	18.48851852	briggsae	0.31823
III	2660001	21.11986842	briggsae	0.317544
III	2670001	20.22675	briggsae	0.316858
III	2680001	21.19171053	briggsae	0.316172
III	2690001	19.48930233	briggsae	0.315486
III	2700001	18.00793103	briggsae	0.3148
III	2710001	24.55240741	briggsae	0.314114
III	2720001	26.36290323	briggsae	0.313428
III	2730001	17.850625	briggsae	0.312742
III	2740001	17.80333333	briggsae	0.312056
III	2750001	16.487	briggsae	0.311371
III	2760001	23.06054545	briggsae	0.310685
III	2770001	19.72	briggsae	0.309999
III	2780001	22.682875	briggsae	0.309313
III	2790001	16.75444444	briggsae	0.308627
III	2800001	20.67469388	briggsae	0.307941
III	2810001	20.36042254	briggsae	0.307255
III	2820001	22.34364583	briggsae	0.306569
III	2830001	23.6635443	briggsae	0.305883
III	2840001	22.63183333	briggsae	0.305197
III	2850001	23.63288889	briggsae	0.304511
III	2860001	22.24275	briggsae	0.303825
III	2870001	21.45580247	briggsae	0.303139
III	2880001	24.36	briggsae	0.302454
III	2890001	21.47	briggsae	0.301768
III	2900001	20.93369231	briggsae	0.301082
III	2910001	23.59524272	briggsae	0.300396
III	2920001	16.03351351	briggsae	0.29971
III	2930001	22.23238095	briggsae	0.299024
III	2940001	21.5574026	briggsae	0.298338
III	2950001	23.1855	briggsae	0.297652
III	2960001	18.66755556	briggsae	0.296966
