Chr	BP	kimura_distance	species
I	1	19.41	briggsae
I	10001	27.094	briggsae
I	20001	26.11769231	briggsae
I	30001	20.19958333	briggsae
I	40001	22.47913043	briggsae
I	50001	22.30117647	briggsae
I	60001	20.39576923	briggsae
I	70001	24.96586207	briggsae
I	80001	26.468	briggsae
I	90001	23.82055556	briggsae
I	100001	27.09275862	briggsae
I	110001	22.94653846	briggsae
I	120001	23.51125	briggsae
I	130001	24.56509434	briggsae
I	140001	23.064	briggsae
I	150001	22.57698413	briggsae
I	160001	23.88758065	briggsae
I	170001	23.63448276	briggsae
I	180001	16.48842105	briggsae
I	190001	22.41536585	briggsae
I	200001	17.14380952	briggsae
I	210001	18.96157895	briggsae
I	220001	14.7765625	briggsae
I	230001	20.78622222	briggsae
I	240001	23.22474576	briggsae
I	250001	20.92558824	briggsae
I	260001	17.91152941	briggsae
I	270001	21.19069767	briggsae
I	280001	24.58563636	briggsae
I	290001	17.18333333	briggsae
I	300001	23.40266667	briggsae
I	310001	25.65958333	briggsae
I	320001	19.99444444	briggsae
I	330001	16.665	briggsae
I	340001	24.66690476	briggsae
I	350001	17.92428571	briggsae
I	360001	20.333	briggsae
I	370001	15.96333333	briggsae
I	380001	15.15375	briggsae
I	390001	17.18833333	briggsae
I	400001	16.19125	briggsae
I	410001	5.703333333	briggsae
I	420001	19.20272727	briggsae
I	430001	22.6445	briggsae
I	440001	26.25966667	briggsae
I	450001	23.31545455	briggsae
I	460001	22.525625	briggsae
I	470001	21.19727273	briggsae
I	480001	25.61083333	briggsae
I	490001	24.32875	briggsae
I	500001	22.19953488	briggsae
I	510001	22.73674419	briggsae
I	520001	24.9176	briggsae
I	530001	24.07	briggsae
I	540001	28.13605556	briggsae
I	550001	23.46814815	briggsae
I	560001	21.68365854	briggsae
I	570001	22.79647059	briggsae
I	580001	25.20705882	briggsae
I	590001	26.16666667	briggsae
I	600001	23.22984375	briggsae
I	610001	24.65148148	briggsae
I	620001	24.78866667	briggsae
I	630001	24.35956522	briggsae
I	640001	19.74208333	briggsae
I	650001	24.420625	briggsae
I	660001	21.275	briggsae
I	670001	23.93269231	briggsae
I	680001	18.645625	briggsae
I	690001	21.67722222	briggsae
I	700001	21.73511628	briggsae
I	710001	21.14433333	briggsae
I	720001	26.4454717	briggsae
I	730001	26.882	briggsae
I	740001	16.72352941	briggsae
I	750001	25.67575	briggsae
I	760001	23.255	briggsae
I	770001	23.59962963	briggsae
I	780001	19.41344828	briggsae
I	790001	20.58064516	briggsae
I	800001	18.35958333	briggsae
I	810001	21.965625	briggsae
I	820001	22.6004	briggsae
I	830001	18.57507463	briggsae
I	840001	24.88545455	briggsae
I	850001	23.61766667	briggsae
I	860001	25.84454545	briggsae
I	870001	23.45692308	briggsae
I	880001	18.85425	briggsae
I	890001	23.98868421	briggsae
I	900001	9.80125	briggsae
I	910001	13.73925926	briggsae
I	920001	21.5497619	briggsae
I	930001	23.09365385	briggsae
I	940001	20.71295455	briggsae
I	950001	18.87241379	briggsae
I	960001	26.74909091	briggsae
I	970001	24.216875	briggsae
I	980001	21.32833333	briggsae
I	990001	7.2675	briggsae
I	1000001	23.80888889	briggsae
I	1010001	13.88045455	briggsae
I	1020001	19.82666667	briggsae
I	1030001	22.11	briggsae
I	1040001	23.61944444	briggsae
I	1050001	23.13446809	briggsae
I	1060001	28.98973684	briggsae
I	1070001	23.61064516	briggsae
I	1080001	25.83307692	briggsae
I	1090001	26.73205128	briggsae
I	1100001	26.66765957	briggsae
I	1110001	22.17692308	briggsae
I	1120001	21.86271186	briggsae
I	1130001	23.49854167	briggsae
I	1140001	27.40088235	briggsae
I	1150001	24.9388	briggsae
I	1160001	16.72444444	briggsae
I	1170001	21.189	briggsae
I	1180001	26.68688172	briggsae
I	1190001	20.12357143	briggsae
I	1200001	25.3362963	briggsae
I	1210001	25.12333333	briggsae
I	1220001	26.40313559	briggsae
I	1230001	24.0516	briggsae
I	1240001	26.22407407	briggsae
I	1250001	23.015625	briggsae
I	1260001	20.82854167	briggsae
I	1270001	22.89294118	briggsae
I	1280001	20.11277778	briggsae
I	1290001	20.17865385	briggsae
I	1300001	25.75659574	briggsae
I	1310001	18.11795455	briggsae
I	1320001	20.64866667	briggsae
I	1330001	21.65030303	briggsae
I	1340001	22.41021739	briggsae
I	1350001	21.68214286	briggsae
I	1360001	22.72548387	briggsae
I	1370001	19.99862069	briggsae
I	1380001	28.0092	briggsae
I	1390001	22.18258065	briggsae
I	1400001	26.38545455	briggsae
I	1410001	25.79842105	briggsae
I	1420001	25.31705882	briggsae
I	1430001	22.5902	briggsae
I	1440001	24.50934783	briggsae
I	1450001	26.985625	briggsae
I	1460001	23.72	briggsae
I	1470001	25.34516129	briggsae
I	1480001	25.185	briggsae
I	1490001	22.33741935	briggsae
I	1500001	22.69615385	briggsae
I	1510001	23.105	briggsae
I	1520001	19.72190476	briggsae
I	1530001	19.60823529	briggsae
I	1540001	25.42633333	briggsae
I	1550001	25.88609756	briggsae
I	1560001	21.93352941	briggsae
I	1570001	17.84272727	briggsae
I	1580001	22.73258065	briggsae
I	1590001	23.20710526	briggsae
I	1600001	24.72	briggsae
I	1610001	17.79369565	briggsae
I	1620001	26.927	briggsae
I	1630001	25.0045	briggsae
I	1640001	20.96956522	briggsae
I	1650001	22.90081633	briggsae
I	1660001	20.385	briggsae
I	1670001	20.87678571	briggsae
I	1680001	19.29028571	briggsae
