Chr	BP	element_length	species
I	1	828.25	briggsae
I	10001	109.7894737	briggsae
I	20001	175.7894737	briggsae
I	30001	113.0606061	briggsae
I	40001	89.40625	briggsae
I	50001	134.45	briggsae
I	60001	173.15	briggsae
I	70001	155.8333333	briggsae
I	80001	97.09090909	briggsae
I	90001	235.8965517	briggsae
I	100001	104.9333333	briggsae
I	110001	235.3636364	briggsae
I	120001	149.4390244	briggsae
I	130001	147.3589744	briggsae
I	140001	192.4736842	briggsae
I	150001	115.8490566	briggsae
I	160001	148.3888889	briggsae
I	170001	184.25	briggsae
I	180001	92.07692308	briggsae
I	190001	193.625	briggsae
I	200001	128.3571429	briggsae
I	210001	166.8666667	briggsae
I	220001	122.2962963	briggsae
I	230001	97.27906977	briggsae
I	240001	118.2291667	briggsae
I	250001	224.8275862	briggsae
I	260001	145.95	briggsae
I	270001	113.1538462	briggsae
I	280001	161.3809524	briggsae
I	290001	117.8157895	briggsae
I	300001	94.2	briggsae
I	310001	122.5454545	briggsae
I	320001	110.5454545	briggsae
I	330001	194.9473684	briggsae
I	340001	165.2	briggsae
I	350001	97.83333333	briggsae
I	360001	135.5	briggsae
I	370001	86.875	briggsae
I	380001	133.375	briggsae
I	390001	108.8	briggsae
I	400001	172.7	briggsae
I	410001	134.4444444	briggsae
I	420001	168	briggsae
I	430001	142.35	briggsae
I	440001	140.32	briggsae
I	450001	206.3703704	briggsae
I	460001	296.35	briggsae
I	470001	162.5483871	briggsae
I	480001	139.825	briggsae
I	490001	105.6	briggsae
I	500001	161.25	briggsae
I	510001	126.8333333	briggsae
I	520001	137.6	briggsae
I	530001	180.3421053	briggsae
I	540001	543.1875	briggsae
I	550001	184.7368421	briggsae
I	560001	132.625	briggsae
I	570001	301.4117647	briggsae
I	580001	125.1153846	briggsae
I	590001	114.9767442	briggsae
I	600001	117.8888889	briggsae
I	610001	167.25	briggsae
I	620001	193.7272727	briggsae
I	630001	239.8928571	briggsae
I	640001	309.1153846	briggsae
I	650001	426.0526316	briggsae
I	660001	144.2142857	briggsae
I	670001	128.8947368	briggsae
I	680001	131.9	briggsae
I	690001	321.6538462	briggsae
I	700001	164.65625	briggsae
I	710001	91.63888889	briggsae
I	720001	162.8809524	briggsae
I	730001	192.25	briggsae
I	740001	136.2758621	briggsae
I	750001	118.8387097	briggsae
I	760001	164.516129	briggsae
I	770001	138.0243902	briggsae
I	780001	197.12	briggsae
I	790001	169.4444444	briggsae
I	800001	129.76	briggsae
I	810001	244.875	briggsae
I	820001	158.92	briggsae
I	830001	138.4482759	briggsae
I	840001	202.3846154	briggsae
I	850001	177.4210526	briggsae
I	860001	207.8787879	briggsae
I	870001	310.3333333	briggsae
I	880001	162.8148148	briggsae
I	890001	126.4411765	briggsae
I	900001	366.2307692	briggsae
I	910001	318.5238095	briggsae
I	920001	197.4827586	briggsae
I	930001	145.9285714	briggsae
I	940001	129.8823529	briggsae
I	950001	144.4827586	briggsae
I	960001	112.7333333	briggsae
I	970001	163.7105263	briggsae
I	980001	194	briggsae
I	990001	178.8333333	briggsae
I	1000001	102.4545455	briggsae
I	1010001	132.8636364	briggsae
I	1020001	188.0454545	briggsae
I	1030001	220.6071429	briggsae
I	1040001	236.15	briggsae
I	1050001	159.7906977	briggsae
I	1060001	107.5434783	briggsae
I	1070001	116.7317073	briggsae
I	1080001	145	briggsae
I	1090001	135.4166667	briggsae
I	1100001	223.1428571	briggsae
I	1110001	157.4	briggsae
I	1120001	185.75	briggsae
I	1130001	126.7674419	briggsae
I	1140001	177.5294118	briggsae
I	1150001	160.6097561	briggsae
I	1160001	200.5	briggsae
I	1170001	178.1627907	briggsae
I	1180001	214.4666667	briggsae
I	1190001	259.6666667	briggsae
I	1200001	242.64	briggsae
I	1210001	174.16	briggsae
I	1220001	179.5	briggsae
I	1230001	226.4814815	briggsae
I	1240001	241.6	briggsae
I	1250001	116.1153846	briggsae
I	1260001	141.7555556	briggsae
I	1270001	163.34375	briggsae
I	1280001	194.2	briggsae
I	1290001	165.2058824	briggsae
I	1300001	323.1	briggsae
I	1310001	166.972973	briggsae
I	1320001	90.94444444	briggsae
I	1330001	130.516129	briggsae
I	1340001	202.5483871	briggsae
I	1350001	196.375	briggsae
I	1360001	172.5714286	briggsae
I	1370001	97.90322581	briggsae
I	1380001	162.5333333	briggsae
I	1390001	126.1153846	briggsae
I	1400001	171.6428571	briggsae
I	1410001	161.4102564	briggsae
I	1420001	153.4444444	briggsae
I	1430001	108.6341463	briggsae
I	1440001	187.1714286	briggsae
I	1450001	159.8372093	briggsae
I	1460001	339.6	briggsae
I	1470001	144.3461538	briggsae
I	1480001	116.9230769	briggsae
I	1490001	147.4090909	briggsae
I	1500001	127.56	briggsae
I	1510001	193.2941176	briggsae
I	1520001	164.075	briggsae
I	1530001	340	briggsae
I	1540001	135.92	briggsae
I	1550001	135.2926829	briggsae
I	1560001	198.1153846	briggsae
I	1570001	85.58823529	briggsae
I	1580001	115.25	briggsae
I	1590001	134.5555556	briggsae
I	1600001	153.28	briggsae
I	1610001	244.78125	briggsae
I	1620001	179.4761905	briggsae
I	1630001	183.45	briggsae
I	1640001	152.7	briggsae
I	1650001	176.2222222	briggsae
I	1660001	177.8888889	briggsae
I	1670001	151.1034483	briggsae
I	1680001	138.1111111	briggsae
I	1690001	139.5555556	briggsae
I	1700001	167.9545455	briggsae
I	1710001	139.5531915	briggsae
I	1720001	126.3823529	briggsae
I	1730001	128.8461538	briggsae
I	1740001	144.4166667	briggsae
I	1750001	175.0882353	briggsae
I	1760001	141.9473684	briggsae
I	1770001	124	briggsae
I	1780001	148.7037037	briggsae
I	1790001	363.2	briggsae
I	1800001	137.255814	briggsae
I	1810001	238.7941176	briggsae
I	1820001	278.0526316	briggsae
I	1830001	258.64	briggsae
I	1840001	109.4864865	briggsae
I	1850001	196.9047619	briggsae
I	1860001	164	briggsae
I	1870001	166.5135135	briggsae
I	1880001	148.1818182	briggsae
I	1890001	191.1	briggsae
I	1900001	191.84375	briggsae
I	1910001	165.9230769	briggsae
I	1920001	169.7	briggsae
I	1930001	281.625	briggsae
I	1940001	176.7222222	briggsae
I	1950001	173.9411765	briggsae
I	1960001	186.4230769	briggsae
I	1970001	186	briggsae
I	1980001	213.6764706	briggsae
I	1990001	151.7027027	briggsae
I	2000001	161.3421053	briggsae
I	2010001	101.2075472	briggsae
I	2020001	157	briggsae
I	2030001	163.8571429	briggsae
I	2040001	88.08333333	briggsae
I	2050001	210.92	briggsae
I	2060001	114.4146341	briggsae
I	2070001	105.3684211	briggsae
I	2080001	316	briggsae
I	2090001	168.6428571	briggsae
I	2100001	194.2580645	briggsae
I	2110001	153.5416667	briggsae
I	2120001	126.3666667	briggsae
I	2130001	167.7307692	briggsae
I	2140001	112.1764706	briggsae
I	2150001	170.4166667	briggsae
I	2160001	163	briggsae
I	2170001	169.8275862	briggsae
I	2180001	124.6774194	briggsae
I	2190001	133.5471698	briggsae
I	2200001	183.125	briggsae
I	2210001	297.6774194	briggsae
I	2220001	250.9642857	briggsae
I	2230001	130.4571429	briggsae
I	2240001	191.0606061	briggsae
I	2250001	350.4	briggsae
