Chr	BP	num_rep_bp	species	norm_dist_center
I	1	6527	briggsae	0.5
I	10001	1220	briggsae	0.499353
I	20001	2898	briggsae	0.498706
I	30001	883	briggsae	0.498059
I	40001	2014	briggsae	0.497412
I	50001	1517	briggsae	0.496765
I	60001	512	briggsae	0.496118
I	70001	2980	briggsae	0.495471
I	80001	645	briggsae	0.494824
I	90001	4441	briggsae	0.494177
I	100001	2493	briggsae	0.49353
I	110001	3215	briggsae	0.492883
I	120001	2191	briggsae	0.492236
I	130001	1867	briggsae	0.491589
I	140001	1666	briggsae	0.490942
I	150001	2216	briggsae	0.490295
I	160001	2251	briggsae	0.489648
I	170001	1466	briggsae	0.489001
I	180001	817	briggsae	0.488354
I	190001	3561	briggsae	0.487707
I	200001	1512	briggsae	0.48706
I	210001	1408	briggsae	0.486413
I	220001	1720	briggsae	0.485766
I	230001	1630	briggsae	0.485119
I	240001	1999	briggsae	0.484472
I	250001	3518	briggsae	0.483825
I	260001	4957	briggsae	0.483178
I	270001	2460	briggsae	0.482531
I	280001	4418	briggsae	0.481884
I	290001	2473	briggsae	0.481237
I	300001	343	briggsae	0.48059
I	310001	1797	briggsae	0.479943
I	320001	1355	briggsae	0.479296
I	330001	3094	briggsae	0.478649
I	340001	3541	briggsae	0.478002
I	350001	1379	briggsae	0.477355
I	360001	1282	briggsae	0.476708
I	370001	545	briggsae	0.476061
I	380001	936	briggsae	0.475414
I	390001	528	briggsae	0.474767
I	400001	2450	briggsae	0.47412
I	410001	1210	briggsae	0.473473
I	420001	1659	briggsae	0.472826
I	430001	726	briggsae	0.472179
I	440001	1722	briggsae	0.471532
I	450001	4068	briggsae	0.470885
I	460001	3991	briggsae	0.470238
I	470001	3043	briggsae	0.469591
I	480001	2264	briggsae	0.468944
I	490001	898	briggsae	0.468297
I	500001	3624	briggsae	0.46765
I	510001	3516	briggsae	0.467003
I	520001	2311	briggsae	0.466356
I	530001	4784	briggsae	0.465709
I	540001	5248	briggsae	0.465062
I	550001	2368	briggsae	0.464415
I	560001	2856	briggsae	0.463768
I	570001	4739	briggsae	0.463121
I	580001	1681	briggsae	0.462474
I	590001	1911	briggsae	0.461827
I	600001	970	briggsae	0.46118
I	610001	3339	briggsae	0.460533
I	620001	3660	briggsae	0.459886
I	630001	4631	briggsae	0.459239
I	640001	4459	briggsae	0.458592
I	650001	6015	briggsae	0.457945
I	660001	2907	briggsae	0.457298
I	670001	2032	briggsae	0.456651
I	680001	2232	briggsae	0.456004
I	690001	4701	briggsae	0.455357
I	700001	3670	briggsae	0.45471
I	710001	951	briggsae	0.454063
I	720001	3898	briggsae	0.453416
I	730001	4663	briggsae	0.452769
I	740001	2282	briggsae	0.452122
I	750001	1985	briggsae	0.451475
I	760001	2279	briggsae	0.450828
I	770001	3315	briggsae	0.450181
I	780001	1271	briggsae	0.449534
I	790001	2408	briggsae	0.448887
I	800001	1499	briggsae	0.44824
I	810001	3216	briggsae	0.447593
I	820001	2445	briggsae	0.446946
I	830001	2872	briggsae	0.446299
I	840001	1798	briggsae	0.445652
I	850001	2835	briggsae	0.445005
I	860001	4189	briggsae	0.444358
I	870001	4547	briggsae	0.443711
I	880001	3134	briggsae	0.443064
I	890001	923	briggsae	0.442417
I	900001	4488	briggsae	0.44177
I	910001	5593	briggsae	0.441123
I	920001	2883	briggsae	0.440476
I	930001	3047	briggsae	0.439829
I	940001	3728	briggsae	0.439182
I	950001	3270	briggsae	0.438535
I	960001	1250	briggsae	0.437888
I	970001	2271	briggsae	0.437241
I	980001	1722	briggsae	0.436594
I	990001	980	briggsae	0.435947
