Chr	BP	gene_length	species	norm_dist_center
I	1	4192.444444	briggsae	0.5
I	100001	8806.909091	briggsae	0.49353
I	200001	5331.125	briggsae	0.48706
I	300001	4139.176471	briggsae	0.48059
I	400001	3374.714286	briggsae	0.47412
I	500001	4524.928571	briggsae	0.46765
I	600001	8810.444444	briggsae	0.46118
I	700001	1946.3	briggsae	0.45471
I	800001	3280.368421	briggsae	0.44824
I	900001	3803.954545	briggsae	0.44177
I	1000001	11287.625	briggsae	0.4353
I	1100001	4673	briggsae	0.42883
I	1200001	6035.466667	briggsae	0.42236
I	1300001	6001.769231	briggsae	0.41589
I	1400001	7736.615385	briggsae	0.40942
I	1500001	4138.785714	briggsae	0.40295
I	1600001	4306.263158	briggsae	0.39648
I	1700001	5695	briggsae	0.39001
I	1800001	3168.24	briggsae	0.38354
I	1900001	3655.666667	briggsae	0.37707
I	2000001	8113.75	briggsae	0.3706
I	2100001	5264.714286	briggsae	0.36413
I	2200001	6716.538462	briggsae	0.35766
I	2300001	6701.166667	briggsae	0.35119
I	2400001	3555.272727	briggsae	0.34472
I	2500001	3116.72	briggsae	0.33825
I	2600001	2971.178571	briggsae	0.33178
I	2700001	4680.882353	briggsae	0.32531
I	2800001	2710	briggsae	0.31884
I	2900001	4083.545455	briggsae	0.31237
I	3000001	2299.740741	briggsae	0.3059
I	3100001	3284.105263	briggsae	0.29943
I	3200001	3212.608696	briggsae	0.29296
I	3300001	3675.545455	briggsae	0.28649
I	3400001	3812.291667	briggsae	0.28002
I	3500001	2862.4	briggsae	0.27355
I	3600001	3937.954545	briggsae	0.26708
I	3700001	2676.041667	briggsae	0.26061
I	3800001	2494.4	briggsae	0.25414
I	3900001	2346.580645	briggsae	0.24767
I	4000001	2698.16	briggsae	0.2412
I	4100001	4164.684211	briggsae	0.23473
I	4200001	7258.5	briggsae	0.22826
I	4300001	3098.695652	briggsae	0.22179
I	4400001	2896.931034	briggsae	0.21532
I	4500001	3484.64	briggsae	0.20885
I	4600001	2325.413793	briggsae	0.202381
I	4700001	1938.416667	briggsae	0.195911
I	4800001	4343.846154	briggsae	0.189441
I	4900001	5679.653846	briggsae	0.182971
I	5000001	3144.521739	briggsae	0.176501
I	5100001	3090.72	briggsae	0.170031
I	5200001	2519.043478	briggsae	0.163561
I	5300001	2730.56	briggsae	0.157091
I	5400001	3506.130435	briggsae	0.150621
I	5500001	2164.192308	briggsae	0.144151
I	5600001	1771.684211	briggsae	0.137681
I	5700001	2407.413793	briggsae	0.131211
I	5800001	2702.962963	briggsae	0.124741
I	5900001	2147	briggsae	0.118271
I	6000001	3238.96	briggsae	0.111801
I	6100001	3027.444444	briggsae	0.105331
I	6200001	2546.263158	briggsae	0.0988607
I	6300001	1837.870968	briggsae	0.0923907
I	6400001	3370.333333	briggsae	0.0859207
I	6500001	2046.942857	briggsae	0.0794507
I	6600001	3609.35	briggsae	0.0729807
I	6700001	2141.366667	briggsae	0.0665108
I	6800001	2629.56	briggsae	0.0600408
I	6900001	2609.166667	briggsae	0.0535708
I	7000001	2744.428571	briggsae	0.0471008
I	7100001	6373.214286	briggsae	0.0406308
I	7200001	7070.583333	briggsae	0.0341608
I	7300001	2594.222222	briggsae	0.0276908
I	7400001	2477.142857	briggsae	0.0212208
I	7500001	2443.296296	briggsae	0.0147509
I	7600001	2359.464286	briggsae	0.00828087
I	7700001	10431.11111	briggsae	0.00181088
I	7800001	2221.407407	briggsae	0.0046591
I	7900001	3243.157895	briggsae	0.0111291
I	8000001	1827.567568	briggsae	0.0175991
I	8100001	2113.857143	briggsae	0.0240691
I	8200001	2262.935484	briggsae	0.0305391
I	8300001	3143.36	briggsae	0.037009
I	8400001	5185.625	briggsae	0.043479
I	8500001	3056.970588	briggsae	0.049949
I	8600001	2864.826087	briggsae	0.056419
I	8700001	3535.076923	briggsae	0.062889
I	8800001	3524.772727	briggsae	0.069359
I	8900001	3360.64	briggsae	0.075829
I	9000001	2812.038462	briggsae	0.082299
I	9100001	2524.269231	briggsae	0.0887689
I	9200001	2429.735294	briggsae	0.0952389
I	9300001	2411.233333	briggsae	0.101709
I	9400001	2199.882353	briggsae	0.108179
I	9500001	2332.692308	briggsae	0.114649
I	9600001	3193.708333	briggsae	0.121119
I	9700001	2844.758621	briggsae	0.127589
I	9800001	1941.731707	briggsae	0.134059
I	9900001	2492.125	briggsae	0.140529
I	10000001	2143.12	briggsae	0.146999
I	10100001	1888.638889	briggsae	0.153469
I	10200001	3251.2	briggsae	0.159939
I	10300001	3043.730769	briggsae	0.166409
I	10400001	2800.869565	briggsae	0.172879
I	10500001	7275.444444	briggsae	0.179349
I	10600001	2806.590909	briggsae	0.185819
I	10700001	3151.32	briggsae	0.192289
I	10800001	1935.285714	briggsae	0.198759
I	10900001	1942	briggsae	0.205229
I	11000001	2127.461538	briggsae	0.211699
I	11100001	3494.842105	briggsae	0.218169
I	11200001	6132.285714	briggsae	0.224639
I	11300001	3060.037037	briggsae	0.231109
I	11400001	2932.2	briggsae	0.237579
I	11500001	2595.115385	briggsae	0.244049
I	11600001	4231.333333	briggsae	0.250519
I	11700001	3900	briggsae	0.256989
I	11800001	2941.555556	briggsae	0.263459
I	11900001	2247.703704	briggsae	0.269929
I	12000001	1749.238095	briggsae	0.276399
I	12100001	3392.142857	briggsae	0.282869
I	12200001	4731.533333	briggsae	0.289339
I	12300001	4285.315789	briggsae	0.295809
I	12400001	2819.692308	briggsae	0.302279
I	12500001	3245.466667	briggsae	0.308749
I	12600001	4849.733333	briggsae	0.315219
I	12700001	3845.684211	briggsae	0.321688
I	12800001	1504.625	briggsae	0.328158
I	12900001	2544.090909	briggsae	0.334628
I	13000001	1544.15625	briggsae	0.341098
I	13100001	3340.96	briggsae	0.347568
I	13200001	5137.764706	briggsae	0.354038
I	13300001	9696.230769	briggsae	0.360508
I	13400001	14180.125	briggsae	0.366978
I	13500001	3025.722222	briggsae	0.373448
I	13600001	7988.25	briggsae	0.379918
I	13700001	6308.642857	briggsae	0.386388
I	13800001	5821.714286	briggsae	0.392858
I	13900001	4306.5	briggsae	0.399328
I	14000001	3069.6	briggsae	0.405798
I	14100001	6871.875	briggsae	0.412268
I	14200001	4018.25	briggsae	0.418738
I	14300001	3858.809524	briggsae	0.425208
I	14400001	3813.15	briggsae	0.431678
I	14500001	3630.952381	briggsae	0.438148
I	14600001	3319.5	briggsae	0.444618
I	14700001	4345.619048	briggsae	0.451088
I	14800001	4751.611111	briggsae	0.457558
I	14900001	4666.166667	briggsae	0.464028
I	15000001	4960.285714	briggsae	0.470498
I	15100001	6684.210526	briggsae	0.476968
I	15200001	5302.5625	briggsae	0.483438
I	15300001	2413.405405	briggsae	0.489908
I	15400001	5033.5	briggsae	0.496378
II	1	1931.724138	briggsae	0.5
II	100001	2166.225806	briggsae	0.493986
II	200001	2565.038462	briggsae	0.487971
II	300001	2985.705882	briggsae	0.481957
II	400001	2891.142857	briggsae	0.475943
II	500001	8666.928571	briggsae	0.469929
II	600001	5556.764706	briggsae	0.463914
II	700001	10057.11111	briggsae	0.4579
II	800001	3071.5	briggsae	0.451886
II	900001	6056.75	briggsae	0.445872
II	1000001	8165	briggsae	0.439857
II	1100001	3740.263158	briggsae	0.433843
