Chr	BP	gene_num	perc_N	species	norm_dist_center
III	1	18	21.636	briggsae	0.5
III	100001	26	18.383	briggsae	0.493141
III	200001	24	22.233	briggsae	0.486281
III	300001	29	21.774	briggsae	0.479422
III	400001	19	36.883	briggsae	0.472563
III	500001	21	34.387	briggsae	0.465704
III	600001	24	35.096	briggsae	0.458844
III	700001	18	34.806	briggsae	0.451985
III	800001	14	37.716	briggsae	0.445126
III	900001	20	32.064	briggsae	0.438267
III	1000001	20	32.636	briggsae	0.431407
III	1100001	14	28.505	briggsae	0.424548
III	1200001	20	36.374	briggsae	0.417689
III	1300001	8	37.835	briggsae	0.41083
III	1400001	22	42.857	briggsae	0.40397
III	1500001	32	30.302	briggsae	0.397111
III	1600001	22	36.702	briggsae	0.390252
III	1700001	24	30.297	briggsae	0.383393
III	1800001	9	40.892	briggsae	0.376533
III	1900001	24	39.682	briggsae	0.369674
III	2000001	23	37.22	briggsae	0.362815
III	2100001	13	31.372	briggsae	0.355956
III	2200001	14	40.167	briggsae	0.349096
III	2300001	20	38.293	briggsae	0.342237
III	2400001	22	33.729	briggsae	0.335378
III	2500001	9	42.689	briggsae	0.328519
III	2600001	11	36.402	briggsae	0.321659
III	2700001	13	46.292	briggsae	0.3148
III	2800001	15	47.521	briggsae	0.307941
III	2900001	14	43.152	briggsae	0.301082
III	3000001	14	42.925	briggsae	0.294222
III	3100001	12	44.633	briggsae	0.287363
III	3200001	10	54.6	briggsae	0.280504
III	3300001	19	41.638	briggsae	0.273645
III	3400001	15	49.866	briggsae	0.266785
III	3500001	26	47.784	briggsae	0.259926
III	3600001	22	42.854	briggsae	0.253067
III	3700001	34	21.17	briggsae	0.246208
III	3800001	18	31.362	briggsae	0.239348
III	3900001	19	34.693	briggsae	0.232489
III	4000001	33	21.237	briggsae	0.22563
III	4100001	24	25.4	briggsae	0.218771
III	4200001	18	23.531	briggsae	0.211911
III	4300001	29	22.744	briggsae	0.205052
III	4400001	19	32.24	briggsae	0.198193
III	4500001	25	27.561	briggsae	0.191334
III	4600001	25	23.587	briggsae	0.184474
III	4700001	28	26.521	briggsae	0.177615
III	4800001	22	35.389	briggsae	0.170756
III	4900001	25	25.37	briggsae	0.163897
III	5000001	19	25.38	briggsae	0.157037
III	5100001	32	21.933	briggsae	0.150178
